PO Number,PO Line,Cont Ind,Contract,Cont Type,Invoice Date,Invoice No,Vendor Reference,Date PO Created,Total Cost per Line,Freight Amt,Unit Price,Unit Price less Dist Fee,Dist Fee %,Dist Fee Amt,Qty Paid,MatGrp,U O M,Material Group Desc,Item No,Stock,Description,GL Acct,GL Acct Desc,Fund,Fund Ctr,Fund Ctr Desc,Div Node,Division Desc,Dept Node,Department Desc,Sub-Dept,Sub-Dept Desc,Cost Ctr,Recipient,Unloading Pt,WBS Element,Vendor No,Vendor Name,Vendor Mat Number,Manufacturer Part No,Manufacturer,Manufacturer Name,UNSPSC code,UNSPSC Desc,Purch Gp,Buyer Name,Case No,SQ Cart No,Req No,Req Line,PO Unit Price
4500133194,40,X,MS25276,AROK,1/7/2016,5109306340,1092907208,1/4/2016,957.12,0.00,9.97,9.80,0.0175,0.17,96.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012094108,10,9.97
4500133194,41,X,MS25276,AROK,1/7/2016,5109306340,1092907208,1/4/2016,158.73,0.00,12.21,12.00,0.0175,0.21,13.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012094109,10,12.21
4500133245,35,X,MS25276,AROK,1/8/2016,5109307262,1092963558,1/5/2016,608.17,0.00,9.97,9.80,0.0175,0.17,61.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012094837,10,9.97
4500133245,36,X,MS25276,AROK,1/8/2016,5109307262,1092963558,1/5/2016,451.77,0.00,12.21,12.00,0.0175,0.21,37.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012094838,10,12.21
4500133297,28,X,MS25276,AROK,1/7/2016,5109306565,1092907262,1/6/2016,827.51,0.00,9.97,9.80,0.0175,0.17,83.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012095469,10,9.97
4500133297,29,X,MS25276,AROK,1/7/2016,5109306565,1092907262,1/6/2016,280.83,0.00,12.21,12.00,0.0175,0.21,23.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012095470,10,12.21
4500133297,30,X,MS25276,AROK,1/7/2016,5109306565,1092907262,1/6/2016,138.18,0.00,9.87,9.70,0.0175,0.17,14.000,H17,BAG,Monitoring Supplies,11054,X,CUFF BLOOD PRESSURE SOFT ADULT SMALL5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9912HP,MDS9912HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012095471,10,9.87
4500133346,34,X,MS25276,AROK,1/8/2016,5109307267,1092964059,1/7/2016,528.41,0.00,9.97,9.80,0.0175,0.17,53.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012096093,10,9.97
4500133400,37,X,MS25276,AROK,1/11/2016,5109308155,1093016580,1/8/2016,667.99,0.00,9.97,9.80,0.0175,0.17,67.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012096741,10,9.97
4500133400,38,X,MS25276,AROK,1/11/2016,5109308155,1093016580,1/8/2016,97.68,0.00,12.21,12.00,0.0175,0.21,8.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012096742,10,12.21
