Manufacturer Product Information,,,Metrex Health CareCrossReferenceInformation,#REF!,#REF!,#REF!,
Mfr Name,Mfr Catalog No,Mfr Product Description,Metrex CatalogNo,Metrex  Product Description,Metrex Cross-Reference Source,Product Category,Notes
METREX,10-1400,METRICIDE 14 DAY 2.6%,10-1400,METRICIDE 14 DAY 2.6%,Supplier Provided,,
METREX,10-2800,SOLUTION DISINFECTANT METRICIDE 28 DAY 1GL,10-2800,SOLUTION DISINFECTANT METRICIDE 28 DAY 1GL,Supplier Provided,,
METREX,10-303,TEST CONTROL STRIP METRI 14 DAY,10-303,TEST CONTROL STRIP METRI 14 DAY,Supplier Provided,,
METREX,10-304,STRIP DISINFECTANT TEST METRITEST 1.8% GLUTARALDEHYDE 1.8% GLUTARALDEHYDE MONITORING 28 DAY,10-304,STRIP DISINFECTANT TEST METRITEST 1.8% GLUTARALDEHYDE 1.8% GLUTARALDEHYDE MONITORING 28 DAY,Supplier Provided,,
METREX,10-6000,DISINFECTANT ORTHOPHTHALALDEH YDE METRICIDE OPA PLUS 1GL INSTRUMENT,10-6000,DISINFECTANT ORTHOPHTHALALDEH YDE METRICIDE OPA PLUS 1GL INSTRUMENT,Supplier Provided,,
METREX,10-602,TEST STRIP METRICIDE OPA PLUS,10-602,TEST STRIP METRICIDE OPA PLUS,Supplier Provided,,
JOHNSON & JOHNSON HEALTHCARE,20390,METRICIDE OPA PLUS,10-6000,DISINFECTANT ORTHOPHTHALALDEH YDE METRICIDE OPA PLUS 1GL INSTRUMENT,Supplier Provided,,
JOHNSON & JOHNSON HEALTHCARE,20392,METRCIDE OPA PLUST TEST STRIPS,10-602,TEST STRIP METRICIDE OPA PLUS,Supplier Provided,,
JOHNSON & JOHNSON HEALTHCARE,2266,METRICIDE 14 DAY 2.6%,10-1400,METRICIDE 14 DAY 2.6%,Supplier Provided,,
JOHNSON & JOHNSON HEALTHCARE,2785,METRICIDE 28 DAY 2.5%,10-2800,SOLUTION DISINFECTANT METRICIDE 28 DAY 1GL,Supplier Provided,,
JOHNSON & JOHNSON HEALTHCARE,2920,METRI TEST 1.5% STRIP,10-303,TEST CONTROL STRIP METRI 14 DAY,Supplier Provided,,
JOHNSON & JOHNSON HEALTHCARE,2924,METRI TEST 1.8% STRIP,10-304,STRIP DISINFECTANT TEST METRITEST 1.8% GLUTARALDEHYDE 1.8% GLUTARALDEHYDE MONITORING 28 DAY,Supplier Provided,,
METREX,MX1400,METRICIDE 14 DAY 2.6%,10-1400,METRICIDE 14 DAY 2.6%,Supplier Provided,,
MEDICAL CHEMICAL CORP,WAV-01,METRICIDE 28 DAY 2.5%,10-2800,SOLUTION DISINFECTANT METRICIDE 28 DAY 1GL,Supplier Provided,,
